subID,group,manipulation,time,n_entries
306,long_training_parallel_manipulations,still_valued,post,48
306,long_training_parallel_manipulations,still_valued_post_deval,pre,5
306,long_training_parallel_manipulations,still_valued_post_deval,post,48
306,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
306,long_training_parallel_manipulations,still_valued_post_deval_week1,post,240
306,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
306,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,170
306,long_training_parallel_manipulations,still_valued_week1,pre,5
306,long_training_parallel_manipulations,still_valued_week1,post,172
308,long_training_parallel_manipulations,devaluation,pre,5
308,long_training_parallel_manipulations,devaluation,post,0
308,long_training_parallel_manipulations,still_valued,pre,5
308,long_training_parallel_manipulations,still_valued,post,22
308,long_training_parallel_manipulations,still_valued_post_deval,pre,5
308,long_training_parallel_manipulations,still_valued_post_deval,post,6
308,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
308,long_training_parallel_manipulations,still_valued_post_deval_week1,post,51
308,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
308,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,17
308,long_training_parallel_manipulations,still_valued_week1,pre,5
308,long_training_parallel_manipulations,still_valued_week1,post,23
309,long_training_parallel_manipulations,devaluation,pre,6
309,long_training_parallel_manipulations,devaluation,post,18
309,long_training_parallel_manipulations,still_valued,pre,5
309,long_training_parallel_manipulations,still_valued,post,51
309,long_training_parallel_manipulations,still_valued_post_deval,pre,5
309,long_training_parallel_manipulations,still_valued_post_deval,post,8
309,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,6
309,long_training_parallel_manipulations,still_valued_post_deval_week1,post,32
309,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
309,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,11
309,long_training_parallel_manipulations,still_valued_week1,pre,5
309,long_training_parallel_manipulations,still_valued_week1,post,8
312,long_training_parallel_manipulations,devaluation,pre,6
312,long_training_parallel_manipulations,devaluation,post,0
312,long_training_parallel_manipulations,still_valued,pre,6
312,long_training_parallel_manipulations,still_valued,post,1
312,long_training_parallel_manipulations,still_valued_post_deval,pre,5
312,long_training_parallel_manipulations,still_valued_post_deval,post,0
312,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
312,long_training_parallel_manipulations,still_valued_post_deval_week1,post,4
312,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
312,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,7
312,long_training_parallel_manipulations,still_valued_week1,pre,5
312,long_training_parallel_manipulations,still_valued_week1,post,12
315,long_training_parallel_manipulations,devaluation,pre,5
315,long_training_parallel_manipulations,devaluation,post,0
315,long_training_parallel_manipulations,still_valued,pre,5
315,long_training_parallel_manipulations,still_valued,post,1
315,long_training_parallel_manipulations,still_valued_post_deval,pre,5
315,long_training_parallel_manipulations,still_valued_post_deval,post,0
315,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,6
315,long_training_parallel_manipulations,still_valued_post_deval_week1,post,1
315,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
315,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,1
315,long_training_parallel_manipulations,still_valued_week1,pre,5
315,long_training_parallel_manipulations,still_valued_week1,post,2
316,long_training_parallel_manipulations,devaluation,pre,5
316,long_training_parallel_manipulations,devaluation,post,6
316,long_training_parallel_manipulations,still_valued,pre,5
316,long_training_parallel_manipulations,still_valued,post,22
316,long_training_parallel_manipulations,still_valued_post_deval,pre,6
316,long_training_parallel_manipulations,still_valued_post_deval,post,10
316,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
316,long_training_parallel_manipulations,still_valued_post_deval_week1,post,32
316,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
316,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,70
316,long_training_parallel_manipulations,still_valued_week1,pre,5
316,long_training_parallel_manipulations,still_valued_week1,post,23
318,long_training_parallel_manipulations,devaluation,pre,5
318,long_training_parallel_manipulations,devaluation,post,0
318,long_training_parallel_manipulations,still_valued,pre,5
318,long_training_parallel_manipulations,still_valued,post,1
318,long_training_parallel_manipulations,still_valued_post_deval,pre,5
318,long_training_parallel_manipulations,still_valued_post_deval,post,1
318,long_training_parallel_manipulations,still_valued_post_deval_week1,pre,5
318,long_training_parallel_manipulations,still_valued_post_deval_week1,post,3
318,long_training_parallel_manipulations,still_valued_replacing_devaluation,pre,5
318,long_training_parallel_manipulations,still_valued_replacing_devaluation,post,10
