subID,trial_num,action_Stage1,action_Stage2,state_Stage2,reward
101,156,2,1,3,0.0
101,157,2,2,3,0.0
101,158,2,2,3,0.0
101,159,2,2,3,0.0
101,160,2,2,3,0.0
101,161,2,1,3,0.0
101,162,2,1,3,0.0
101,163,2,2,3,1.0
101,164,2,1,3,1.0
101,165,2,1,3,1.0
101,166,2,1,3,1.0
101,167,2,1,2,1.0
101,168,2,1,3,0.0
101,169,2,2,3,1.0
101,170,2,1,3,1.0
101,171,2,1,2,0.0
101,172,2,2,2,0.0
101,173,2,1,3,1.0
101,174,2,2,2,1.0
101,175,2,2,2,0.0
101,176,2,2,3,0.0
101,177,2,2,3,0.0
101,178,2,2,2,1.0
101,179,2,1,2,1.0
101,180,2,1,3,1.0
101,181,2,2,2,0.0
101,182,2,1,2,1.0
101,183,2,2,3,0.0
101,184,2,1,3,1.0
101,185,2,2,3,0.0
101,186,2,1,3,1.0
101,187,2,1,3,1.0
101,188,2,1,3,1.0
101,189,2,1,3,1.0
101,190,2,2,2,0.0
101,191,2,1,3,1.0
101,192,2,1,3,0.0
101,193,2,1,3,0.0
101,194,2,2,3,0.0
101,195,2,2,2,0.0
101,196,2,1,3,0.0
101,197,2,1,2,0.0
101,198,2,2,3,1.0
101,199,2,2,3,0.0
101,200,2,1,3,1.0
105,1,1,1,2,0.0
105,2,1,2,2,0.0
105,3,2,2,2,0.0
105,4,2,2,3,1.0
105,5,2,2,3,1.0
105,6,2,2,3,0.0
105,7,1,1,2,0.0
105,8,2,1,3,1.0
105,9,2,2,3,1.0
105,10,2,2,3,0.0
105,11,2,1,3,1.0
105,12,2,1,3,1.0
105,13,2,2,3,0.0
105,14,2,1,3,1.0
105,15,2,1,3,1.0
105,16,2,1,3,1.0
105,17,2,1,3,0.0
105,18,2,1,2,0.0
105,19,1,2,2,1.0
105,20,1,1,2,0.0
105,21,1,1,3,0.0
105,22,2,2,3,0.0
105,23,1,1,2,1.0
105,24,1,2,2,0.0
105,25,1,1,3,0.0
105,26,2,2,3,1.0
105,27,1,1,2,0.0
105,28,1,2,2,1.0
105,29,1,2,2,1.0
105,30,1,2,2,0.0
105,31,2,1,3,1.0
105,32,2,1,3,0.0
105,33,2,1,3,0.0
105,34,2,1,3,0.0
105,35,2,2,3,0.0
105,36,1,2,3,0.0
105,37,1,2,2,1.0
105,38,1,2,2,1.0
105,39,1,2,2,0.0
105,40,1,2,2,0.0
105,41,2,1,2,0.0
105,42,2,1,3,1.0
105,43,2,1,3,0.0
105,44,2,2,3,0.0
105,45,1,2,3,0.0
105,46,1,2,2,1.0
105,47,1,2,2,1.0
105,48,1,2,2,1.0
105,49,1,2,2,1.0
105,50,1,2,2,1.0
105,52,1,2,3,1.0
105,53,1,2,2,1.0
105,54,1,2,3,0.0
105,55,1,2,3,0.0
105,56,1,2,2,1.0
105,57,1,2,3,0.0
105,58,2,2,3,0.0
105,59,1,1,3,0.0
105,60,2,2,3,1.0
105,61,2,2,3,1.0
105,62,2,2,3,0.0
105,63,1,1,3,0.0
105,64,1,2,2,1.0
105,65,1,1,3,0.0
105,66,2,1,2,0.0
105,67,1,2,2,0.0
105,68,1,2,2,1.0
105,69,1,2,2,1.0
105,70,1,2,2,0.0
105,71,1,2,2,1.0
105,72,1,2,2,1.0
105,73,1,2,2,0.0
105,74,1,2,2,0.0
105,75,2,1,2,0.0
105,76,1,2,2,0.0
105,77,1,1,3,0.0
105,78,1,2,2,1.0
105,79,1,2,3,0.0
105,80,1,1,3,0.0
105,81,2,2,3,0.0
105,82,1,2,2,0.0
105,83,1,2,3,0.0
105,84,1,2,2,1.0
105,85,1,2,3,0.0
105,86,1,2,2,1.0
105,87,1,1,3,0.0
105,88,1,1,3,0.0
105,89,1,2,2,0.0
105,90,2,2,3,0.0
105,91,2,1,3,0.0
105,92,1,2,2,1.0
105,93,1,1,3,1.0
105,94,1,1,3,1.0
105,95,1,2,2,0.0
105,96,1,1,3,0.0
105,97,1,2,2,0.0
105,98,1,2,2,0.0
105,99,1,1,3,0.0
105,100,2,2,3,1.0
105,102,1,2,2,0.0
105,103,1,2,2,1.0
105,104,1,1,3,0.0
105,105,1,2,2,1.0
105,106,1,2,2,1.0
105,107,1,2,2,0.0
105,108,1,1,2,0.0
105,109,1,1,3,1.0
105,110,1,2,2,1.0
105,111,1,2,2,0.0
105,112,1,1,3,1.0
105,113,1,2,2,1.0
105,114,1,2,2,1.0
105,115,1,2,2,0.0
105,116,1,1,3,0.0
105,117,1,2,2,0.0
105,118,1,2,2,1.0
105,119,1,2,2,0.0
105,120,1,2,2,0.0
105,121,1,2,2,1.0
105,122,1,2,2,1.0
105,123,1,2,2,1.0
105,124,1,2,2,0.0
105,125,1,2,2,0.0
105,126,1,2,2,1.0
105,127,1,2,2,0.0
105,128,1,1,3,1.0
105,129,1,1,3,0.0
105,130,1,2,2,0.0
105,131,1,2,2,0.0
105,132,1,2,2,1.0
105,133,1,2,2,1.0
105,134,1,2,2,1.0
105,135,1,2,2,0.0
105,136,1,1,3,0.0
105,137,1,1,3,1.0
105,138,1,2,2,0.0
105,139,1,2,2,0.0
105,140,1,2,2,0.0
105,141,1,2,2,0.0
105,142,1,2,2,1.0
105,143,1,2,2,0.0
105,144,1,1,3,1.0
105,145,1,2,2,1.0
105,146,1,2,2,1.0
105,147,1,2,3,0.0
105,148,1,1,3,1.0
105,149,1,2,2,1.0
105,150,1,2,2,1.0
105,151,1,1,3,1.0
105,152,1,2,2,0.0
105,153,1,2,2,1.0
105,154,1,1,2,0.0
105,155,1,2,2,1.0
105,156,1,1,3,0.0
105,157,1,1,3,1.0
105,158,1,1,3,1.0
105,159,1,2,2,1.0
105,160,1,2,2,1.0
105,161,1,2,2,1.0
105,162,1,1,3,1.0
105,163,1,1,3,1.0
105,164,1,2,2,1.0
105,165,1,1,3,0.0
105,166,1,2,2,1.0
105,167,1,1,3,0.0
105,168,1,2,2,1.0
105,169,1,2,2,0.0
105,170,1,2,2,0.0
105,171,1,1,3,1.0
105,172,1,2,2,1.0
105,173,1,2,2,0.0
105,174,1,1,3,0.0
105,175,1,1,3,0.0
105,176,1,1,3,0.0
105,177,1,2,2,1.0
105,178,1,2,2,1.0
105,179,1,1,3,0.0
105,180,1,2,2,0.0
105,181,1,1,3,0.0
105,182,1,2,2,1.0
105,183,1,1,3,0.0
105,184,1,2,2,1.0
105,185,1,2,2,0.0
105,186,1,2,2,0.0
105,187,1,2,2,1.0
105,188,1,2,2,1.0
105,189,1,2,2,1.0
105,190,1,1,3,0.0
105,191,1,2,2,1.0
105,192,1,2,2,1.0
105,193,1,2,2,0.0
105,194,1,2,2,0.0
105,195,1,2,2,0.0
105,196,1,2,2,0.0
105,197,1,2,2,1.0
105,198,1,2,2,1.0
105,199,1,1,3,0.0
105,200,1,1,3,1.0
106,1,2,2,3,1.0
106,2,2,2,2,1.0
106,3,2,2,3,0.0
106,4,1,2,2,0.0
106,5,2,1,2,1.0
106,6,2,2,3,0.0
106,7,1,1,3,0.0
106,8,1,1,3,1.0
106,9,2,1,2,0.0
106,10,2,1,3,1.0
106,11,1,2,2,1.0
106,12,2,2,3,1.0
106,13,2,2,3,1.0
106,14,2,2,2,0.0
106,15,2,2,2,1.0
106,16,1,2,2,0.0
106,17,2,2,3,1.0
106,18,1,1,2,1.0
106,19,1,2,2,0.0
106,20,2,1,2,0.0
106,21,2,2,3,1.0
106,22,2,1,3,1.0
106,23,2,1,3,0.0
106,24,1,1,2,0.0
106,25,1,1,3,0.0
106,26,2,1,3,1.0
106,27,2,1,3,0.0
106,28,1,1,2,1.0
106,29,1,1,2,1.0
106,30,1,1,2,0.0
106,31,1,2,2,1.0
106,32,1,2,2,1.0
106,33,1,2,2,1.0
106,34,1,2,2,0.0
106,35,2,1,3,1.0
106,36,2,1,3,0.0
106,37,1,1,3,0.0
106,38,1,2,2,1.0
106,39,1,2,2,1.0
106,40,1,1,2,1.0
106,41,1,1,2,1.0
106,42,1,1,2,1.0
106,43,2,2,2,1.0
106,44,2,2,3,0.0
106,45,2,1,2,1.0
106,46,1,2,2,1.0
106,47,1,2,2,0.0
106,48,1,2,2,0.0
106,49,2,2,3,1.0
106,50,1,2,3,1.0
106,51,2,1,3,1.0
106,52,2,2,3,0.0
106,53,2,2,3,0.0
106,54,1,1,2,0.0
106,55,1,1,2,0.0
106,56,1,1,3,1.0
106,57,2,2,2,1.0
106,58,1,2,3,1.0
106,59,2,1,3,1.0
106,60,2,1,2,0.0
106,61,2,1,3,1.0
106,62,2,1,3,0.0
106,63,1,2,2,1.0
106,64,1,1,2,0.0
106,65,2,1,3,1.0
106,66,2,1,2,1.0
106,67,1,2,3,1.0
106,68,2,1,3,1.0
106,69,1,2,2,1.0
106,70,2,2,3,0.0
106,71,1,2,2,1.0
106,72,2,2,2,1.0
106,73,2,2,2,0.0
106,74,1,1,2,0.0
106,75,1,2,2,1.0
106,76,1,2,3,1.0
106,77,1,1,2,0.0
106,78,1,2,2,1.0
106,79,2,1,3,1.0
106,80,2,1,3,0.0
106,81,1,2,2,0.0
106,82,1,1,2,0.0
106,83,2,1,3,0.0
106,84,1,2,2,1.0
106,85,1,2,2,1.0
106,86,1,1,2,0.0
106,87,1,1,3,0.0
106,88,2,1,3,1.0
106,89,2,1,3,0.0
106,90,1,2,2,1.0
106,91,2,2,3,1.0
106,92,1,2,2,0.0
106,93,2,2,3,0.0
106,94,2,2,2,1.0
106,95,1,2,2,1.0
106,96,1,2,2,1.0
106,97,1,2,2,0.0
106,98,1,2,2,1.0
106,99,2,1,3,1.0
106,100,2,1,3,0.0
106,101,2,1,3,1.0
106,102,2,2,3,1.0
106,103,2,1,2,0.0
106,104,1,1,3,1.0
106,105,1,2,2,1.0
106,106,2,1,3,0.0
106,107,2,2,2,1.0
106,108,1,2,2,1.0
106,109,1,2,2,1.0
106,110,1,2,2,1.0
106,111,1,1,3,0.0
106,112,1,2,2,1.0
106,113,1,2,2,1.0
106,114,2,1,3,0.0
